,timestamp,source,tweets ago,tweet text,compound score,positive score,negative score,neutral score
114,Sat Jan 20 18:08:09 +0000 2018,@CBSnews,14,"Sen. Schumer on meetings with Pres. Trump: ""The lunch that seemed so promising was quickly overtaken by hard-right… https://t.co/KTzatzs79T",0.541,0.162,0.0,0.838
115,Sat Jan 20 18:02:03 +0000 2018,@CBSnews,15,WATCH LIVE: Senate Minority Leader Chuck Schumer holds a press conference amid government shutdown… https://t.co/XGBD5pkqTt,0.0,0.0,0.0,1.0
116,Sat Jan 20 18:00:01 +0000 2018,@CBSnews,16,"The governor of California once again denies parole for Leslie Van Houten, the youngest follower of Charles Manson… https://t.co/ov9ecXsHeK",-0.4215,0.0,0.135,0.865
117,Sat Jan 20 17:50:01 +0000 2018,@CBSnews,17,"2 Americans and 2 Canadians who were kidnapped in Nigeria on Tuesday have been freed and are in good condition, pol… https://t.co/xhmL25NrxQ",0.6808,0.237,0.0,0.763
118,Sat Jan 20 17:40:01 +0000 2018,@CBSnews,18,"DEVELOPING: At least 4 gunmen launched an attack on the Intercontinental Hotel in Kabul, according to Afghan offici… https://t.co/N5iQJqT6By",-0.3818,0.073,0.15,0.777
119,Sat Jan 20 17:30:06 +0000 2018,@CBSnews,19,Thousands of activists are taking to the streets around the world for the #WomensMarch2018. Here's a look at some o… https://t.co/IwOsLZ8oQt,0.0,0.0,0.0,1.0
120,Sat Jan 20 20:50:01 +0000 2018,@CBSnews,20,"Commentary: Why this is the ""Trump shutdown"" https://t.co/C4R9kFqh4v https://t.co/C4ASgrmOGl",0.0,0.0,0.0,1.0
121,Sat Jan 20 20:30:37 +0000 2018,@CBSnews,21,"One year after President Trump's inauguration, the #WomensMarch is returning to the streets -- and aiming to become… https://t.co/KWdTINhZk6",0.0,0.0,0.0,1.0
122,Sat Jan 20 20:14:06 +0000 2018,@CBSnews,22,"""We need more time [to negotiate DACA] and that should not be used to put the country through this shutdown,"" Rep.… https://t.co/54wKUWS3Yu",0.0,0.0,0.0,1.0
123,Sat Jan 20 20:03:47 +0000 2018,@CBSnews,23,"WATCH LIVE: House Republicans are speaking on Capitol Hill, after OMB Director Mick Mulvaney briefed reporters on t… https://t.co/YVgIzOfajL",0.0,0.0,0.0,1.0
124,Sat Jan 20 19:51:01 +0000 2018,@CBSnews,24,"Turkish jets bomb Kurdish-controlled city of Afrin in northern Syria, as President Recep Tayyip Erdogan promises to… https://t.co/FZcTR4bcC7",-0.1531,0.119,0.147,0.734
125,Sat Jan 20 19:40:13 +0000 2018,@CBSnews,25,"""In 2013 we were being asked to vote for something that we did not like,” Mick Mulvaney says. “We have a funding bi… https://t.co/hvOOvgrmBb",0.0,0.0,0.0,1.0
126,Sat Jan 20 19:33:33 +0000 2018,@CBSnews,26,"""We are taking Davos, both from the president's perspective and the cabinet's perspective, on a day-by-day basis,""… https://t.co/TgHt01afdf",0.0,0.0,0.0,1.0
127,Sat Jan 20 19:31:14 +0000 2018,@CBSnews,27,"""Mr. Schumer is going to have to up his game a little bit and be more honest with the president of the United State… https://t.co/9bvu695hoM",0.7501,0.225,0.0,0.775
128,Sat Jan 20 19:26:49 +0000 2018,@CBSnews,28,"""Early this morning, federal workers got notices from their various agencies as to whether they were exempt or furl… https://t.co/FLQadxn7X9",0.1027,0.069,0.0,0.931
129,Sat Jan 20 19:24:26 +0000 2018,@CBSnews,29,"""We continue to remain anxious to reach a deal on DACA, and we look forward to resuming those negotiations as soon… https://t.co/bM4MtdIMMX",-0.2263,0.05,0.09,0.86
130,Sat Jan 20 19:21:11 +0000 2018,@CBSnews,30,WATCH LIVE: White House officials hold a press briefing to give an update on the government shutdown… https://t.co/h8stKSKayV,0.0,0.0,0.0,1.0
131,Sat Jan 20 19:01:01 +0000 2018,@CBSnews,31,"In his first year in office, President Trump proved to be a singular figure, casting aside norms and traditions:… https://t.co/EolX6C5dZ5",0.0,0.0,0.0,1.0
132,Sat Jan 20 18:41:01 +0000 2018,@CBSnews,32,"UPDATE: A group of gunmen have launched an attack on the Intercontinental Hotel in Kabul, authorities say; kitchen… https://t.co/kGCgYEFOpc",-0.3818,0.073,0.15,0.777
133,Sat Jan 20 18:21:55 +0000 2018,@CBSnews,33,"Paul Bocuse, the master chef who defined French cuisine for nearly half a century and put it on tables around the w… https://t.co/3HhPSWGU4b",0.0,0.0,0.0,1.0
134,Sat Jan 20 18:08:09 +0000 2018,@CBSnews,34,"Sen. Schumer on meetings with Pres. Trump: ""The lunch that seemed so promising was quickly overtaken by hard-right… https://t.co/KTzatzs79T",0.541,0.162,0.0,0.838
135,Sat Jan 20 18:02:03 +0000 2018,@CBSnews,35,WATCH LIVE: Senate Minority Leader Chuck Schumer holds a press conference amid government shutdown… https://t.co/XGBD5pkqTt,0.0,0.0,0.0,1.0
136,Sat Jan 20 18:00:01 +0000 2018,@CBSnews,36,"The governor of California once again denies parole for Leslie Van Houten, the youngest follower of Charles Manson… https://t.co/ov9ecXsHeK",-0.4215,0.0,0.135,0.865
137,Sat Jan 20 17:50:01 +0000 2018,@CBSnews,37,"2 Americans and 2 Canadians who were kidnapped in Nigeria on Tuesday have been freed and are in good condition, pol… https://t.co/xhmL25NrxQ",0.6808,0.237,0.0,0.763
138,Sat Jan 20 17:40:01 +0000 2018,@CBSnews,38,"DEVELOPING: At least 4 gunmen launched an attack on the Intercontinental Hotel in Kabul, according to Afghan offici… https://t.co/N5iQJqT6By",-0.3818,0.073,0.15,0.777
139,Sat Jan 20 17:30:06 +0000 2018,@CBSnews,39,Thousands of activists are taking to the streets around the world for the #WomensMarch2018. Here's a look at some o… https://t.co/IwOsLZ8oQt,0.0,0.0,0.0,1.0
140,Sat Jan 20 17:23:58 +0000 2018,@CBSnews,40,"""Like the president, the House, the bipartisan majority of senators, the American people cannot begin to understand… https://t.co/N3wKxBBZO1",0.3612,0.128,0.0,0.872
141,Sat Jan 20 17:19:35 +0000 2018,@CBSnews,41,"Senate Majority Leader Mitch McConnell on Democrats: ""These rhetorical gymnastics are simply not persuasive. The Am… https://t.co/O7mSgQhLhS",0.0,0.0,0.0,1.0
142,Sat Jan 20 17:13:38 +0000 2018,@CBSnews,42,WATCH LIVE: Senate Majority Leader Mitch McConnell speaks on Senate floor amid government shutdown… https://t.co/6ZW0axuzLj,0.0,0.0,0.0,1.0
